equipment_names,equipment_urls
Diago Tourman Pedalboard,/items/diago-tourman-pedalboard
Diago Powerstation,/items/diago-powerstation
Line 6 DL4 Delay Pedal,/items/line-6-dl4-delay-pedal
Lehle D.Loop SGoS,/items/lehle-d-loop-sgos
MXR Dyna Comp Compressor M102,/items/mxr-dyna-comp-compressor-m102
Boss TR-2 Tremolo Pedal,/items/boss-tr-2-tremolo-pedal
Boss LS-2 Line Selector/Power Supply,/items/boss-ls-2-line-selector-power-supply
Fulltone OCD Obsessive Compulsive Drive Overdrive Pedal,/items/fulltone-ocd-obsessive-compulsive-drive-overdrive-pedal
Boss TU-2 Chromatic Tuner,/items/boss-tu-2-chromatic-tuner
Fulltone Fulldrive 2,/items/fulltone-fulldrive-2
Pro Co RAT Distortion Pedal,/items/pro-co-rat-distortion-pedal
Maxon Ph 350 Rotary Phaser,/items/maxon-ph-350-rotary-phaser
Dunlop Cry Baby Wah Pedal,/items/dunlop-cry-baby-wah-pedal
Line 6 ToneCore Echo Park Delay Guitar Effects Pedal,/items/line-6-tonecore-echo-park-delay-guitar-effects-pedal
TC Electronic G-Force Multi Effects Processor,/items/tc-electronic-g-force-multi-effects-processor
Whirlwind Selector A/B Box,/items/whirlwind-selector-a-b-box
DigiTech XP-100 Whammy-Wah,/items/digitech-xp-100-whammy-wah
Electro-Harmonix XO Micro Metal Muff Distortion Guitar Effects Pedal,/items/electro-harmonix-xo-micro-metal-muff-distortion-guitar-effects-pedal
Electro-Harmonix Micro POG,/items/electro-harmonix-micro-pog
Electro-Harmonix MicroSynth XO Pedal,/items/electro-harmonix-microsynth-xo-pedal
Keeley Electronics 6 Stage Phaser,/items/keeley-electronics-6-stage-phaser
Fulltone Full-Drive2 Mosfet,/items/fulltone-full-drive2-mosfet
Ibanez TS808 The Original Tube Screamer,/items/ibanez-ts808-the-original-tube-screamer
Keeley Katana Clean Boost Pedal,/items/keeley-katana-clean-boost-pedal
Maxon CP101 Compressor Pedal,/items/maxon-cp101-compressor-pedal
Roland GR-33 Guitar Synthesizer,/items/roland-gr-33-guitar-synthesizer
Voodoo Lab Pedal Power 2 Plus,/items/voodoo-lab-pedal-power-2-plus
Boss DD-7 Digital Delay,/items/boss-dd-7-digital-delay
MXR Micro Flanger â€“ M152,/items/mxr-micro-flanger-m152
Boss RC-30 Loop Station,/items/boss-rc-30-loop-station
Electro-Harmonix Tone Tattoo,/items/electro-harmonix-tone-tattoo
Electro-Harmonix Deluxe Electric Mistress,/items/electro-harmonix-deluxe-electric-mistress
Electro-Harmonix POG2 Polyphonic Octave Generator Guitar Effects Pedal,/items/electro-harmonix-pog2-polyphonic-octave-generator-guitar-effects-pedal
Mooer Trelicopter,/items/mooer-trelicopter
Mooer Hustle Drive,/items/mooer-hustle-drive
Mooer Black Secret Distortion Pedal,/items/mooer-black-secret-distortion-pedal
Boss CE-2 Chorus Guitar Effect Pedal,/items/boss-ce-2-chorus-guitar-effect-pedal
TC Electronic PolyTune Polyphonic Tuner Pedal,/items/tc-electronic-polytune-polyphonic-tuner-pedal
TC Electronic Ditto X2 Looper Effects Pedal,/items/tc-electronic-ditto-x2-looper-effects-pedal
Boss Loop station,/items/boss-loop-station
MI Audio Tube Zone Overdrive Pedal,/items/mi-audio-tube-zone-overdrive-pedal
Paul Cochrane Timmy Transparent Overdrive,/items/paul-cochrane-timmy-transparent-overdrive
Analog Man King of Tone Overdrive Guitar Effect Pedal,/items/analog-man-king-of-tone-overdrive-guitar-effect-pedal
Dedalo MAQUINA DEL TIEMPO - Tape Delay (MDT-5) - Effect Pedal,/items/dedalo-maquina-del-tiempo-tape-delay-mdt-5-effect-pedal
Dedalo TRES - Tremolo (TRS-4),/items/dedalo-tres-tremolo-trs-4
Maxon CP-9 Pro+ Compressor,/items/maxon-cp-9-pro-compressor
Maxon OD808 Overdrive,/items/maxon-od808-overdrive
Maxon AD-9 Analog Delay Pro,/items/maxon-ad-9-analog-delay-pro
